id,title,especie,raza,sexo,peligroso,fechaNacimiento,capa,tamagno,foto,lugar,disponibilidad,identificadoIngreso,microchip,pasaporteISO,pasaporteNum,rabia,esterilizado,enCMPA,creationDate,lastUpdated,cartilla,fechaRabia,lugarEsterilizacion,fechaEsterilizacion,caracter,description,chenil,espacio,foto2
1332,TIGRA,Canina,AMERICAN STAFFORDSHIRE TERRIER,Hembra,S,2015-03-26T00:00:00,Blanco y atigrado,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/b02f2e2adce70759a7f05c263e957b0080d41dc7aa1000afaf0ec423be6ae01d.jpg,Guardería,Disponible,N,941000022909751,ES,020266891,N,S,S,2021-05-20T00:00:00,2021-08-13T11:45:35,,2018-06-30T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/b02f2e2adce70759a7f05c263e957b0080d41dc7aa1000afaf0ec423be6ae01d.jpg
1338,FRIDA,Canina,MESTIZO,Hembra,S,2018-04-17T00:00:00,Blanco y marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/c1847c9c4bd7ff49b34511ef71e7069cb470fadc0181787cacbb2ba776381084.jpg,CMPA,Disponible,N,941000023110767,ES,020276560,S,S,S,2021-05-20T00:00:00,2022-11-19T10:50:13,,2018-09-19T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/c1847c9c4bd7ff49b34511ef71e7069cb470fadc0181787cacbb2ba776381084.jpg
1346,DJANGO,Canina,PITBULL,Macho,S,2019-04-11T00:00:00,Blanco y marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/DJANGO.jpg,Guardería,Disponible,S,981098106920700,ES,020302388,N,S,S,2021-05-20T00:00:00,2022-03-16T07:51:54,,2020-08-26T00:00:00,En el hospital,2022-03-15T00:00:00,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/DJANGO.jpg
1372,TORNILLO,Felina,COMÚN EUROPEO,Macho,N,2018-02-10T00:00:00,Blanco y canela,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/tornillo.png,Casa de Acogida,Disponible,N,,,,N,N,S,2021-05-20T00:00:00,2022-01-19T07:44:54,AR0019321,,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/tornillo.png
1430,CONAN,Canina,MESTIZO,Macho,S,2016-06-22T00:00:00,Negro y fuego,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/CONAN.jpg,CMPA,Disponible,S,941000019062376,ES,020220558,N,N,S,2021-05-20T00:00:00,2021-05-20T00:00:00,,2016-06-22T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/CONAN.jpg
1432,Rafa,Canina,MESTIZO,Macho,S,2013-06-15T00:00:00,Atigrado,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/IMG_20171222_132212.jpg,CMPA,Disponible,N,941000021934480,ES,020254658,N,S,S,2021-05-20T00:00:00,2021-08-17T13:28:37,,2018-06-13T00:00:00,,,Bueno,"<p>Rafa es un ppp de tamaño mediano-pequeño que ya está castrado. Es un perro tranquilo y que convive perfectamente con otros animales. ¡Anímate a conocerlo!</p>
",,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/IMG_20171222_132212.jpg
1468,LOKI ,Canina,MESTIZO,Macho,S,2016-02-04T00:00:00,Atigrado,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/loki.jpg,CMPA,Disponible,N,941000019280401,ES,020221744,N,S,S,2021-05-20T00:00:00,2021-08-17T13:38:27,,2018-08-14T00:00:00,,,Bueno,"<p>Loki es un perro joven y precioso, activo y sociable con la gente. Lleva en el centro desde que era un cachorro. Está ya esterilizado y a la espera de encontrar la familia que se merece. Para adoptar a Loki es necesaria la Licencia para la Tenencia de Animales Potencialmente Peligrosos.</p>
",,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/loki.jpg
1484,hojaldre,Felina,COMÚN EUROPEO,Macho,N,2019-09-10T00:00:00,,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/HOJALDRE.jpg,Parque,Disponible,N,941000024718120,,,N,S,S,2021-05-20T00:00:00,2021-08-25T15:20:10,AR0017872,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/HOJALDRE.jpg
1493,ROSCA,Felina,COMÚN EUROPEO,Hembra,N,2018-02-10T00:00:00,Negro,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/ROSCA (2).jpg,Casa de Acogida,Disponible,N,,,,N,N,S,2021-05-20T00:00:00,2021-05-27T00:00:00,AR0019320,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/ROSCA (2).jpg
1568,DEMO,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2016-07-25T00:00:00,Marrón,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/DEMO.jpg,Guardería,Disponible,S,941000018702656,ES,020301530,N,S,S,2021-05-20T00:00:00,2021-06-02T13:48:47,,,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/DEMO.jpg
1573,LINA,Canina,MESTIZO,Hembra,S,2018-02-27T00:00:00,Blanco,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/LINA.jpg,CMPA,Disponible,N,941000024938713,ES,020307582,N,S,S,2021-05-20T00:00:00,2021-08-18T14:36:28,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/LINA.jpg
1605,CHULO,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2018-02-07T00:00:00,Marrón,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/chulo.png,Guardería,Disponible,N,941000024408531,ES,020300446,S,S,S,2021-05-20T00:00:00,2021-08-12T10:46:04,,2022-08-18T00:00:00,En el CMPA,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/chulo.png
1610,HYDRA,Canina,MESTIZO,Hembra,S,2019-09-10T00:00:00,,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/hydra.png,Guardería,Disponible,N,941000025377346,ES,020310106,S,S,S,2021-05-20T00:00:00,2022-06-28T09:33:35,,2020-05-13T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/hydra.png
1633,TICK,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2018-01-12T00:00:00,Blanco y negro,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/IMG_3606-2.jpg,CMPA,Disponible,N,,,,N,S,S,2021-05-20T00:00:00,2021-08-18T14:42:37,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/IMG_3606-2.jpg
1673,MANTECON,Canina,MESTIZO,Macho,S,2018-02-02T00:00:00,Atigrado,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/PEDALES.jpg,Guardería,Disponible,S,945000006114535,ES,020328332,N,S,S,2021-05-20T00:00:00,2022-06-24T13:55:19,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/PEDALES.jpg
89,NORA,Canina,MESTIZO,Hembra,S,2017-10-23T00:00:00,Marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/NORA.JPG,Guardería,Disponible,N,941000022909776,ES,020266885,N,S,S,2021-05-20T00:00:00,2021-08-13T11:32:53,,2018-06-13T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/NORA.JPG
92,Ara,Canina,MESTIZO,Hembra,S,2015-11-08T00:00:00,Atigrado,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/ara.png,Guardería,Disponible,N,941000021934486,ES,020254881,N,S,S,2021-05-20T00:00:00,2021-08-24T09:56:56,,2018-02-15T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/ara.png
113,SANSA,Canina,MESTIZO,Hembra,S,2017-02-08T00:00:00,Blanco y marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/SANSA.jpg,Guardería,Disponible,N,941000022287872,ES,020264116,S,S,S,2021-05-20T00:00:00,2022-02-10T10:49:43,,2018-03-22T00:00:00,,,Por determinar,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/SANSA.jpg
163,LUKI,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2016-11-27T00:00:00,Blanco y canela,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/_20180319_121825.jpg,Guardería,Disponible,S,941000017742864,ES,020265248,S,S,S,2021-05-20T00:00:00,2021-08-13T11:24:57,,2018-08-19T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/_20180319_121825.jpg
26,Lola,Canina,MESTIZO,Hembra,S,2015-08-01T00:00:00,Chocolate,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/LOLA.jpg,Guardería,Disponible,N,941000018747690,ES,020209839,N,S,S,2021-05-20T00:00:00,2021-08-13T09:55:03,,2016-01-28T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/LOLA.jpg
29,Golf,Canina,MESTIZO,Macho,S,2014-11-08T00:00:00,Blanco y marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/05662 Golf.jpg,Guardería,Disponible,N,941000018459836,ES,020200849,N,S,S,2021-05-20T00:00:00,2021-08-13T10:07:23,,2015-11-16T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/05662 Golf.jpg
30,Who,Canina,MESTIZO,Macho,S,2013-04-05T00:00:00,Blanco y negro,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/04982 Who.jpg,Guardería,Disponible,N,941000017677451,ES,020187100,N,S,S,2021-05-20T00:00:00,2021-08-13T11:03:22,,2015-05-16T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/04982 Who.jpg
39,BROWN,Canina,MESTIZO,Macho,S,2013-06-17T00:00:00,Marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/braum2.jpg,Guardería,Disponible,N,941000017300320,ES,020189733,N,S,S,2021-05-20T00:00:00,2021-08-12T13:00:17,,2015-04-29T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/braum2.jpg
43,Maribel,Canina,MESTIZO,Hembra,S,2014-05-26T00:00:00,Blanco y negro,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/MARIBEL11.jpg,Guardería,Disponible,N,941000017300182,ES,020189732,N,S,S,2021-05-20T00:00:00,2021-08-12T13:04:47,,2015-04-28T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/MARIBEL11.jpg
54,ASIDON ,Canina,MESTIZO,Macho,S,2012-07-08T00:00:00,Atigrado,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/ASIDON11.jpg,CMPA,Disponible,S,941000016656431,ES,020163332,S,S,S,2021-05-20T00:00:00,2021-08-17T13:58:59,,2014-09-16T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/ASIDON11.jpg
56,Francisco,Canina,MESTIZO,Macho,S,2014-06-22T00:00:00,Blanco,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/francisco.png,Guardería,Disponible,N,941000017300339,ES,020189736,N,S,S,2021-05-20T00:00:00,2021-08-13T07:39:09,,2015-04-29T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/francisco.png
59,Pipol,Canina,MESTIZO,Macho,S,2012-09-25T00:00:00,Blanco y marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/05568 Pipol.jpg,Guardería,Disponible,N,941000018459775,ES,020200847,N,S,S,2021-05-20T00:00:00,2021-08-13T10:00:42,,2015-11-20T00:00:00,En el CMPA,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/05568 Pipol.jpg
3452,MAPI,Canina,AMERICAN STAFFORDSHIRE TERRIER,Hembra,S,2019-07-20T00:00:00,Atigrado,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/mapi.png,Guardería,Disponible,N,941000026518662,ES,020342695,N,N,S,2021-07-20T13:18:00,2022-02-07T09:32:25,,2021-07-20T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/mapi.png
3423,JODIE,Felina,COMÚN EUROPEO,Hembra,N,2019-07-08T00:00:00,Tricolor,Pequeño (< 10 Kg),,Parque,Disponible,N,941000026627552,,,N,N,S,2021-07-08T11:00:05,2022-02-08T09:13:40,AR0042129,,,,,,,,
3413,JOTA,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2020-07-03T00:00:00,Negro,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/3413_1663745712035.png,CMPA,Disponible,N,941000026523165,ES,020344785,S,S,S,2021-07-03T09:24:43,2022-09-21T09:35:12,,2021-08-18T00:00:00,En el CMPA,2021-08-18T00:00:00,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/3413_1663745712035.png
3434,JULY,Canina,AMERICAN STAFFORDSHIRE TERRIER,Hembra,S,2019-07-13T00:00:00,Atigrado,,/cont/paginas/proteccionanimal/animal/imagen/july.png,Guardería,Disponible,N,941000026518715,ES,020342678,N,N,N,2021-07-13T12:50:51,2022-07-27T12:51:38,,2021-07-13T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/july.png
3536,NORMA,Felina,COMÚN EUROPEO,Hembra,N,2021-04-21T00:00:00,Tricolor,Pequeño (< 10 Kg),,Casa de Acogida,Disponible,N,941000026523178,,,N,N,S,2021-08-23T08:44:30,2022-02-04T09:31:26,AR0044588,,,,,,,,
3401,JURGI,Felina,COMÚN EUROPEO,Macho,N,2021-05-01T00:00:00,Negro,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/jurgi.png,Cuarentena,Disponible,N,941000026518734,,,N,N,N,2021-07-01T13:54:24,2022-02-10T09:58:32,AR0042198,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/jurgi.png
3587,ANAKIN,Felina,COMÚN EUROPEO,Macho,N,2019-09-07T00:00:00,Blanco y atigrado,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/3587_1663742742302.png,Cuarentena,Disponible,N,945000002441352,,,N,N,S,2021-09-08T10:50:18,2022-09-21T08:45:42,AR0044568,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/3587_1663742742302.png
3350,GORDO,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2020-09-07T00:00:00,Blanco y negro,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/GORDO.jpg,Guardería,Disponible,S,985113005301265,ES,020339360,N,S,N,2021-06-24T00:00:00,2022-03-12T09:59:07,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/GORDO.jpg
3437,Jeinker,Felina,,Macho,N,2021-05-14T00:00:00,Blanco y rojo,,/cont/paginas/proteccionanimal/animal/imagen/3437_1663745659921.png,Cuarentena,Disponible,N,941000026627612,,,N,S,S,2021-07-14T09:57:58,2022-09-21T09:34:19,AR0042202,,En el CMPA,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/3437_1663745659921.png
3539,ALI,Felina,COMÚN EUROPEO,Hembra,N,2021-06-23T00:00:00,Tricolor,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/ali.png,Casa de Acogida,Disponible,N,941000026627894,,,N,N,S,2021-08-23T09:29:43,2022-02-04T09:26:17,AR0044600,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/ali.png
3628,DUKY,Canina,MESTIZO,Macho,N,2015-10-18T00:00:00,Marrón,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/duky.png,Guardería,Disponible,S,941000016672992,ES,020148091,N,S,S,2021-10-08T08:20:23,2022-09-06T09:44:05,,2020-05-29T00:00:00,En el CMPA,2022-09-06T00:00:00,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/duky.png
